"Contractor", "Phone", "Website", "Rating", "Reviews", "Location"
"Matute Roofing", "9736186489", "https://matuteroofing.com​", 5.0, 405, "50 Galesi Dr, Wayne, NJ 07470"
"Preferred Exterior", "5165495474", "https://www.preferredexterior.com", 5.0, 46, "New Hyde Park, NY"
"US Roofing & Siding Inc", "6096574839", "https://usroofingsidinginc.com/", 4.9, 42, "159 Main St Apt B, Matawan NJ, 07747 USA"
